ngo_name,darpan_id,state,district,sector,legal_form,year_of_reg,fcra_status,is_active,source,ngo_age_years,is_old_ngo,fcra_registered,sector_enc,legal_form_enc,state_enc
Swasthya Women Empowerment Foundation,PU/1996/0001000,Punjab,Punjab District 18,Women Empowerment,Society,1996,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),29,1,1,10,1,7
Shakti Education Foundation,PU/2022/0001001,Punjab,Punjab District 20,Education,Society,2022,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),3,0,1,3,1,7
Bal Healthcare Samiti,PU/1990/0001002,Punjab,Punjab District 6,Healthcare,Trust,1990,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),35,1,0,5,2,7
Sewa Healthcare Development Institute,PU/2011/0001003,Punjab,Punjab District 4,Healthcare,Society,2011,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),14,1,0,5,1,7
Swasthya Women Empowerment Charitable Trust,PU/1992/0001004,Punjab,Punjab District 15,Women Empowerment,Section 8 Company,1992,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),33,1,1,10,0,7
Unnati Women Empowerment Trust,PU/2013/0001005,Punjab,Punjab District 19,Women Empowerment,Section 8 Company,2013,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,0,10,0,7
Shiksha Healthcare Foundation,PU/2004/0001006,Punjab,Punjab District 4,Healthcare,Trust,2004,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),21,1,0,5,2,7
Nav Healthcare Charitable Trust,PU/2007/0001007,Punjab,Punjab District 3,Healthcare,Trust,2007,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),18,1,0,5,2,7
Nari Healthcare Welfare Organization,PU/2004/0001008,Punjab,Punjab District 11,Healthcare,Trust,2004,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),21,1,0,5,2,7
Pragati Education Welfare Organization,PU/1994/0001009,Punjab,Punjab District 7,Education,Trust,1994,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),31,1,0,3,2,7
Manav Healthcare Charitable Trust,PU/2019/0001010,Punjab,Punjab District 5,Healthcare,Section 8 Company,2019,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),6,0,0,5,0,7
Gram Rural Development Development Institute,PU/2004/0001011,Punjab,Punjab District 5,Rural Development,Section 8 Company,2004,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),21,1,0,7,0,7
Shiksha Education Foundation,PU/2017/0001012,Punjab,Punjab District 20,Education,Society,2017,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),8,0,0,3,1,7
Unnati Women Empowerment Seva Sansthan,PU/1990/0001013,Punjab,Punjab District 4,Women Empowerment,Section 8 Company,1990,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),35,1,0,10,0,7
Sarva Women Empowerment Development Institute,PU/2000/0001014,Punjab,Punjab District 15,Women Empowerment,Society,2000,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),25,1,1,10,1,7
Sahyog Education Society,PU/2022/0001015,Punjab,Punjab District 20,Education,Section 8 Company,2022,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),3,0,1,3,0,7
Vikas Education Society,PU/1991/0001016,Punjab,Punjab District 4,Education,Section 8 Company,1991,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),34,1,0,3,0,7
Kalyan Education Welfare Organization,PU/1995/0001017,Punjab,Punjab District 3,Education,Society,1995,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),30,1,0,3,1,7
Shiksha Healthcare Society,PU/2000/0001018,Punjab,Punjab District 9,Healthcare,Section 8 Company,2000,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),25,1,0,5,0,7
Samaj Healthcare Samiti,PU/2002/0001019,Punjab,Punjab District 10,Healthcare,Section 8 Company,2002,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),23,1,0,5,0,7
Vikas Rural Development Seva Sansthan,PU/1994/0001020,Punjab,Punjab District 11,Rural Development,Society,1994,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),31,1,1,7,1,7
Sarva Healthcare Welfare Organization,PU/1993/0001021,Punjab,Punjab District 8,Healthcare,Society,1993,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),32,1,1,5,1,7
Pragati Education Charitable Trust,PU/2021/0001022,Punjab,Punjab District 7,Education,Section 8 Company,2021,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),4,0,1,3,0,7
Manav Healthcare Seva Sansthan,PU/2002/0001023,Punjab,Punjab District 4,Healthcare,Trust,2002,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),23,1,0,5,2,7
Shakti Rural Development Charitable Trust,PU/1993/0001024,Punjab,Punjab District 4,Rural Development,Trust,1993,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),32,1,0,7,2,7
Sewa Healthcare Trust,PU/2018/0001025,Punjab,Punjab District 5,Healthcare,Society,2018,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),7,0,1,5,1,7
Sahyog Healthcare Seva Sansthan,PU/1996/0001026,Punjab,Punjab District 2,Healthcare,Society,1996,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),29,1,0,5,1,7
Sarva Education Foundation,PU/2021/0001027,Punjab,Punjab District 16,Education,Society,2021,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),4,0,1,3,1,7
Unnati Healthcare Foundation,PU/2014/0001028,Punjab,Punjab District 9,Healthcare,Trust,2014,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),11,1,1,5,2,7
Nav Rural Development Development Institute,PU/2021/0001029,Punjab,Punjab District 5,Rural Development,Section 8 Company,2021,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),4,0,0,7,0,7
Bal Education Foundation,PU/1993/0001030,Punjab,Punjab District 19,Education,Section 8 Company,1993,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),32,1,0,3,0,7
